IVT call address printout

 Vector | CS   | IP   |
--------+------+------+
   0000 | 00D9 | 12BA |
   0001 | 00D9 | 1285 |
   0002 | 0070 | 0008 |
   0003 | 00D9 | 1285 |
   0004 | F000 | FF53 |
   0005 | F000 | FF53 |
   0006 | B000 | 0012 |
   0007 | F000 | FF53 |
   0008 | 0070 | 000F |
   0009 | 0070 | 0016 |
   000A | 0070 | 002C |
   000B | 0070 | 0041 |
   000C | 0070 | 0056 |
   000D | 0070 | 006B |
   000E | 0070 | 0080 |
   000F | F000 | FF53 |
   0010 | B04A | 0434 |
   0011 | F000 | F84D |
   0012 | F000 | F841 |
   0013 | B000 | 002C |
   0014 | F000 | E739 |
   0015 | B000 | 0050 |
   0016 | CA1D | 0103 |
   0017 | F000 | EFD4 |
   0018 | F000 | F0A4 |
   0019 | B000 | 0013 |
   001A | F000 | FE6E |
   001B | 0070 | 01FA |
   001C | F000 | EFED |
   001D | F000 | FF53 |
   001E | 0070 | 0119 |
   001F | C000 | 596C |
   0020 | 00D9 | 1292 |
   0021 | 00D9 | 129A |
   0022 | C99B | 0752 |
   0023 | C98B | 063F |
   0024 | C99B | 00C1 |
   0025 | 00D9 | 12A2 |
   0026 | 00D9 | 12AA |
   0027 | 00D9 | 12B2 |
   0028 | CA1D | 0154 |
   0029 | 0070 | 01E8 |
   002A | CA1D | 0141 |
   002B | 00D9 | 1285 |
   002C | 00D9 | 1285 |
   002D | 00D9 | 1285 |
   002E | C98B | 0641 |
   002F | B0FE | 03F6 |
   0030 | D912 | D2EA |
   0031 | 00D9 | 1200 |
   0032 | 00D9 | 1285 |
   0033 | B04A | 0B5E |
   0034 | 00D9 | 1285 |
   0035 | 00D9 | 1285 |
   0036 | 00D9 | 1285 |
   0037 | 00D9 | 1285 |
   0038 | 00D9 | 1285 |
   0039 | 00D9 | 1285 |
   003A | 00D9 | 1285 |
   003B | 00D9 | 1285 |
   003C | 00D9 | 1285 |
   003D | 00D9 | 1285 |
   003E | 00D9 | 1285 |
   003F | 00D9 | 1285 |
